2018-3-1-thru-2019-10-1

🚶	130.3395
beep	47.396187
🐢	47.396187
🚨	35.547142
♓	35.547142
ñ	35.547142
😛	29.622616
📽	29.622616
📡	29.622616
stax	29.622616
danewkool	29.622616
kak	29.622616
tá	29.622616
fibre	23.698093
🚒	23.698093
🚙	23.698093
🙌	23.698093
😰	23.698093
🔽	23.698093
🔛	23.698093
👟	23.698093
🐔	23.698093
🐍	23.698093
peena	23.698093
woka	23.698093
⛺️	23.698093
nyom	23.698093
👦🏾	23.698093
octopus_nation	23.698093
3hr	23.698093
495	23.698093
selenaformmva	23.698093
✖	23.698093
croisants	17.773571
ojalawine	17.773571
artopolis	17.773571
burgermaster	17.773571
waynesburger	17.773571
brunchwork	17.773571
porto	17.773571
bihh	17.773571
🏃🏾	17.773571
bere	17.773571
bara	17.773571
djschemes	17.773571
animate	17.773571
tabbuli	17.773571
wildbillsmke	17.773571
caachamps	17.773571
tocabe	17.773571
papagayos	17.773571
sanukiya	17.773571
buchi	17.773571
harvard	17.773571
compartes	17.773571
rounds	17.773571
islands	17.773571
🎥	17.773571
😊	17.773571
🗼	17.773571
🔼	17.773571
📢	17.773571
💬	17.773571
💦	17.773571
💓	17.773571
🐖	17.773571
facie	17.773571
🚴🏼	17.773571
alloco	17.773571
crepeville	17.773571
mangia	17.773571
🙅🏽	17.773571
ichiban	17.773571
plentea	17.773571
iibabuffalo	17.773571
wiggle	17.773571
spitzer's	17.773571
tmttakeover	17.773571
🇱🇰	17.773571
faunsdale	17.773571
waca	17.773571
yebisu	17.773571
nuggle	17.773571
wallboard	17.773571
0.25	17.773571
wasssup	17.773571
⭐️	17.773571
カニ	17.773571
beetlejuice	17.773571
❤️	17.773571
sasa	17.773571
✔️	17.773571
⛽️	17.773571
noooom	17.773571
☑️	17.773571
◀️	17.773571
reforma255	17.773571
shabu	17.773571
jegga	17.773571
estela	17.773571


2020-3-1 thru 2021-10-1

🚶	123.647705
beep	44.962803
🐢	44.962803
🚨	33.722103
♓	33.722103
😛	28.101751
📡	28.101751
stax	28.101751
danewkool	28.101751
kak	28.101751
fibre	22.481401
🚒	22.481401
🚙	22.481401
🙌	22.481401
😰	22.481401
🔽	22.481401
🔛	22.481401
👟	22.481401
🐔	22.481401
🐍	22.481401
peena	22.481401
⛺️	22.481401
nyom	22.481401
3hr	22.481401
495	22.481401
selenaformmva	22.481401
croisants	16.861052
ojalawine	16.861052
artopolis	16.861052
porto	16.861052
bihh	16.861052
animate	16.861052
tabbuli	16.861052
wildbillsmke	16.861052
caachamps	16.861052
papagayos	16.861052
buchi	16.861052
harvard	16.861052
compartes	16.861052
rounds	16.861052
islands	16.861052
🎥	16.861052
😊	16.861052
🔼	16.861052
📢	16.861052
💬	16.861052
💦	16.861052
💓	16.861052
🐖	16.861052
facie	16.861052
alloco	16.861052
crepeville	16.861052
mangia	16.861052
ichiban	16.861052
plentea	16.861052
iibabuffalo	16.861052
wiggle	16.861052
spitzer's	16.861052
tmttakeover	16.861052
waca	16.861052
yebisu	16.861052
wallboard	16.861052
0.25	16.861052
wasssup	16.861052
⭐️	16.861052
カニ	16.861052
beetlejuice	16.861052
❤️	16.861052
✔️	16.861052
⛽️	16.861052
☑️	16.861052
reforma255	16.861052
shabu	16.861052
jegga	16.861052
estela	16.861052
goruck	16.861052
totoro	16.861052
mica	16.861052
plasmon	16.861052
lela	16.861052
munchary	16.861052
rochellesnyc	16.861052
yom	16.861052
wsj	16.861052
oso	16.861052
kaw	16.861052
bsu	16.861052
bgt	16.861052
axe	16.861052
ikea	16.861052
skyroom	16.861052
hamp	16.861052
halo	16.861052
温	16.861052
泉	16.861052
ㆍ	16.861052
math365	16.861052
❥	16.861052
♚	16.861052
ba	16.861052
