z	18	2.255272505103306	9	59472.77777777778	4.774318223439374	1070510.0	85.93772802190873	134127.32052434114	10.767388619936481	209447.6086956522	-447548.6521739131	-10	neutral
food	6103	4.785543369956593	6103	87.70358839914796	1.9430173629221057	535255.0	11858.23496591361	419.7093259849445	9.298393858842426	181400.55891825855	-532153.0647490005	-5802	neutral
snack	1616	4.208441356438567	1616	331.22215346534654	2.5201193764401313	535255.0	4072.5129123272523	1393.9290088122063	10.605774606972822	172856.1310951239	-557927.4796163068	-1772	unhealthy
pasta	1540	4.1875207208364635	1540	347.5681818181818	2.541040012042236	535255.0	3913.2016185450434	1455.4489632670918	10.6406577029014	179428.10187200696	-538103.0156726164	-1514	neutral
fillet	42	2.623249290397901	42	12744.166666666666	4.105311442480798	535255.0	172.4230805841935	33431.12616504591	10.769255328350136	159437.65957446807	-598404.5319148937	-57	neutral
raisin	160	3.2041199826559246	160	3345.34375	3.524440750222774	535255.0	563.9105200356438	10718.882758228106	11.292731035475628	179540.4612159329	-537764.0817610063	-157	neutral
chutney	76	2.8808135922807914	76	7042.828947368421	3.8477471405979076	535255.0	292.428782685441	20289.077359687566	11.084642262294002	166718.7704918033	-576440.9344262294	-92	neutral
flour	156	3.1931245983544616	156	3431.121794871795	3.5354361345242373	535255.0	551.528036985781	10955.99940315524	11.289088087060556	174321.04384133613	-553508.5448851775	-167	neutral
muffin	575	3.7596678446896306	575	930.8782608695652	2.9688928881890684	535255.0	1707.1134107087144	3499.79306471191	11.162051126052168	182113.38757396452	-530002.8047337278	-540	unhealthy
patty	121	3.0827853703164503	121	4423.5950413223145	3.6457753625622487	535255.0	441.1388188700321	13636.994077592824	11.239142951167052	188272.8343023256	-511422.726744186	-102	unhealthy
cilantro	334	3.5237464668115646	334	1602.559880239521	3.2048142660671344	535255.0	1070.4079648664228	5647.014715847976	11.292952946841362	170749.92359121298	-564280.8911174786	-379	neutral
marinade	48	2.681241237375587	48	11151.145833333334	4.047319495503111	535255.0	194.27133578414936	29898.912052322292	10.8518399321771	193174.73684210525	-496636.052631579	-37	neutral
trout	101	3.0043213737826426	101	5299.554455445545	3.7242393590960563	535255.0	376.14817526870166	15921.564722020083	11.188811907614852	175521.93181818182	-549886.0454545454	-106	healthy
watercress	37	2.568201724066995	37	14466.351351351352	4.160359008811704	535255.0	153.93328332603303	37152.50848149944	10.684641179167873	186834.29245283018	-515762.11320754717	-32	healthy
meatloaf	242	3.383815365980431	242	2211.7975206611573	3.3447453668982674	535255.0	809.4283787893808	7484.314436850644	11.318000767802213	190487.80882352943	-504741.2176470589	-196	neutral
coleslaw	100	3.0	100	5352.55	3.728560732878699	535255.0	372.8560732878699	16057.650000000001	11.185682198636098	177236.75496688744	-544713.2516556291	-102	neutral
macaroni	146	3.164352855784437	146	3666.1301369863013	3.564207877094262	535255.0	520.3743500557622	11600.929368649991	11.278411374492613	180478.59122401848	-534934.1963048498	-141	unhealthy
saffron	58	2.7634279935629373	58	9228.534482758621	3.9651327393157616	535255.0	229.97769888031416	25502.390529216038	10.957358810018068	164258.14814814815	-583863.4444444445	-73	neutral
tortilla	372	3.5705429398818973	372	1438.8575268817203	3.158017792996801	535255.0	1174.78261899481	5137.502584103454	11.27583813480614	180521.17860380778	-534805.7307343608	-359	neutral
venison	40	2.6020599913279625	40	13381.375	4.126500741550736	535255.0	165.06002966202945	34819.14051645622	10.737402483774341	168584.25196850393	-570813.6771653544	-47	neutral
cherry	336	3.526339277389844	336	1593.0208333333333	3.202221455488855	535255.0	1075.9464090442552	5617.531934283634	11.292119293390822	190514.4915254237	-504660.7288135593	-272	healthy
guacamole	232	3.3654879848909	232	2307.1336206896553	3.363072747987799	535255.0	780.2328775331694	7764.630479968874	11.31838092566696	173192.6917712692	-556912.2384937239	-253	healthy
breast	466	3.66838591669	466	1148.6158798283261	3.0601748161886984	535255.0	1426.0414643439335	4213.566317248725	11.225902198316032	171901.33011716057	-560807.6533425223	-519	healthy
cheese	6226	4.794209116346496	6226	85.97092836492129	1.9343516165322023	535255.0	12043.273164529492	412.1626085078772	9.273686154198266	177866.01355678905	-542815.0821947054	-6284	unhealthy
creme	111	3.0453229787866576	111	4822.117117117117	3.6832377540920413	535255.0	408.8393907042166	14684.90406315723	11.216648568871054	161011.6666666667	-593656.512195122	-147	unhealthy
cream	1802	4.255754786643044	1802	297.0338512763596	2.4728059462356544	535255.0	4455.996315116649	1264.1032343643853	10.523655742131767	176783.26796187682	-546081.2030791788	-1852	unhealthy
eggplant	285	3.45484486000851	285	1878.0877192982457	3.2737158728701887	535255.0	933.0090237680038	6488.50170366265	11.310180456513844	188796.62747524751	-509842.6955445545	-238	healthy
crepe	129	3.110589710299249	129	4149.263565891473	3.6179710225794497	535255.0	466.718261912749	12906.656553381586	11.254023434996487	176142.5892857143	-548013.8214285714	-134	unhealthy
yeast	39	2.591064607026499	39	13724.48717948718	4.137496125852199	535255.0	161.3623489082358	35561.03298035818	10.720519773404892	210858.0303030303	-443294.09090909094	-21	neutral
crisp	143	3.155336037465062	143	3743.041958041958	3.573224695413637	535255.0	510.9711314441501	11810.555179953579	11.274724651398769	186232.27493917276	-517578.10948905104	-125	unhealthy
grub	182	3.2600713879850747	182	2940.9615384615386	3.468489344893624	535255.0	631.2650607706395	9587.744564703029	11.307522872818799	178092.15722120658	-542132.915904936	-183	neutral
brunch	6487	4.812043897930227	6487	82.51194697086481	1.916516834948472	535255.0	12432.444708310739	397.0511109274925	9.222363140894347	172095.51868556702	-560221.8801546392	-7202	neutral
