raisin neutral 266 265
lox healthy 269 268
romaine healthy 280 279
vitamin healthy 360 359
puree healthy 369 368
shortcake unhealthy 402 401
nosh neutral 409 408
nutmeg neutral 425 424
roe healthy 466 465
quince healthy 518 517
cheeto unhealthy 538 537
dinner neutral 1 1
breakfast neutral 2 2
lunch neutral 3 3
brunch neutral 4 4
food neutral 5 5
salad healthy 8 8
coffee neutral 12 12
egg neutral 13 13
soup neutral 22 22
sausage unhealthy 33 33
potato neutral 50 50
oatmeal neutral 51 51
dessert unhealthy 52 52
kale healthy 54 54
lamb neutral 76 76
blueberry healthy 79 79
cereal neutral 80 80
pepper healthy 81 81
chili neutral 83 83
waffle unhealthy 85 85
wheat healthy 97 97
cheddar unhealthy 103 103
cuisine neutral 180 180
grapefruit healthy 203 203
fig healthy 205 205
latte unhealthy 209 209
jalapeno healthy 248 248
wasabi neutral 301 301
avacado healthy 335 335
cumin neutral 364 364
parsnip healthy 395 395
refreshment neutral 530 530
jackfruit healthy 531 531
marinate neutral 532 532
snack unhealthy 6 7
cheese unhealthy 9 10
bacon unhealthy 10 11
garlic healthy 45 46
apple healthy 55 56
broccoli healthy 57 58
asparagus healthy 63 64
strawberry healthy 66 67
quinoa healthy 69 70
milk neutral 71 72
drink neutral 74 75
honey unhealthy 77 78
spaghetti neutral 86 87
meat neutral 89 90
ice neutral 127 128
guacamole healthy 156 157
rosemary neutral 183 184
candy unhealthy 187 188
bran healthy 259 260
pickle healthy 281 282
cappuccino unhealthy 292 293
venison neutral 352 353
sweet neutral 17 19
spinach healthy 21 23
wine unhealthy 35 37
pork neutral 39 41
hot neutral 42 44
turkey neutral 46 48
yogurt neutral 60 62
pancake unhealthy 84 86
burrito unhealthy 110 112
tortilla neutral 160 162
pecan healthy 175 177
chick neutral 216 218
pomegranate healthy 239 241
chill neutral 264 266
plantain healthy 353 355
scotch unhealthy 375 377
sardine neutral 491 493
tripe unhealthy 500 502
dogfish neutral 533 535
salmon healthy 28 31
cream unhealthy 58 61
lasagna unhealthy 133 136
hummus healthy 136 139
cookie unhealthy 170 173
eggplant healthy 176 179
