jello unhealthy 270 244
crab healthy 394 368
fruit healthy 511 485
soup neutral 531 505
dill neutral 140 115
mutton neutral 434 409
corn neutral 444 419
avocado healthy 519 495
rice neutral 542 518
pizza unhealthy 543 519
hamburger unhealthy 134 111
raspberry healthy 289 266
mushroom healthy 408 385
onion healthy 436 413
egg neutral 550 527
shish neutral 366 344
tomato healthy 493 471
bread neutral 514 492
sushi neutral 518 496
thyme neutral 86 65
season neutral 216 195
jam unhealthy 254 233
ketchup neutral 78 58
parsley healthy 109 89
grill unhealthy 463 443
mango neutral 383 364
shrimp healthy 513 494
mint neutral 191 173
garden neutral 354 336
snack unhealthy 565 547
bacon unhealthy 561 544
cheese unhealthy 562 545
salad healthy 563 546
food neutral 566 549
brunch neutral 567 550
lunch neutral 568 551
breakfast neutral 569 552
dinner neutral 570 553
bourbon unhealthy 152 136
donut unhealthy 230 214
sweetbread neutral 446 430
bbq unhealthy 497 481
chicken neutral 564 548
kohlrabi healthy 414 399
gelatin neutral 548 534
coffee neutral 551 537
submarine neutral 554 540
milkshake unhealthy 53 40
pasta neutral 486 473
sherbet unhealthy 546 533
currant neutral 462 450
partridge neutral 541 529
mullet healthy 522 511
cracker neutral 66 56
budweiser unhealthy 411 401
chicory neutral 523 513
peach healthy 232 223
carbohydrate neutral 510 502
custard unhealthy 205 198
brandy unhealthy 303 296
dietician neutral 545 539
icee unhealthy 527 522
gyro unhealthy 4 1
fig healthy 6 4
tart neutral 7 5
breadstick neutral 478 476
lamb neutral 10 9
clove healthy 11 10
yolk neutral 60 59
gingerale unhealthy 450 449
licorice neutral 537 536
tonic unhealthy 8 8
cappuccino unhealthy 54 54
elderberry healthy 521 521
melon healthy 1 2
leaf neutral 2 3
calzone unhealthy 5 6
popsicle unhealthy 331 332
soybean healthy 9 11
pasty unhealthy 391 394
fondue unhealthy 3 7
creme unhealthy 62 66
pate unhealthy 339 343
nectarine healthy 346 350
sweetcorn neutral 324 329
wafer neutral 461 467
bone unhealthy 36 43
watermelon healthy 235 242
apricot healthy 63 71
sustenance neutral 379 387
halibut neutral 13 22
fillet neutral 176 185
herb neutral 253 262
fava healthy 315 324
monkfish healthy 372 381
crayfish neutral 457 466
spareribs neutral 380 390
offal neutral 491 501
rhubarb healthy 39 51
dandelion neutral 363 377
shell healthy 19 34
koolaid unhealthy 313 328
dragonfruit healthy 376 391
tartar unhealthy 195 211
lychee healthy 399 415
sweetener unhealthy 451 468
citron healthy 525 542
jicama healthy 199 217
seaweed healthy 22 42
ceasar healthy 318 338
sorrel neutral 382 403
relish unhealthy 103 125
alfalfa healthy 405 427
radish healthy 50 73
guava healthy 151 174
bamboo healthy 255 278
cheeto unhealthy 501 525
kreme unhealthy 364 389
hare neutral 472 497
cornflake neutral 421 447
sherry unhealthy 252 279
greenbean healthy 449 477
fajita unhealthy 48 77
carmel unhealthy 124 155
courgette healthy 481 512
drumstick neutral 500 531
marinate neutral 488 520
wing unhealthy 72 105
okra healthy 76 109
lemongrass healthy 271 304
kumquat healthy 355 388
torte unhealthy 456 489
refreshment neutral 483 516
jackfruit healthy 484 517
wasabi neutral 35 69
dogfish neutral 489 523
horseradish healthy 59 94
brocolli healthy 295 330
brew unhealthy 44 80
garnish neutral 272 308
nectar unhealthy 311 347
scallion healthy 98 135
endive healthy 300 337
coriander neutral 314 351
kidney neutral 335 372
sardine neutral 410 448
bass healthy 33 72
sirloin neutral 43 82
yam healthy 154 193
barbeque unhealthy 160 199
poptart unhealthy 264 303
tripe unhealthy 426 465
quince healthy 459 498
milky neutral 499 538
enchilada unhealthy 34 74
kebab unhealthy 258 298
marrow neutral 259 300
strudel unhealthy 245 287
scone unhealthy 41 84
roe healthy 350 393
succotash healthy 398 441
cider neutral 24 68
munch neutral 88 132
passionfruit healthy 275 319
sundae unhealthy 243 288
taro neutral 334 379
tapioca neutral 413 458
powerade unhealthy 415 460
breadfruit healthy 419 464
sauerkraut healthy 81 127
jimmy unhealthy 117 164
marmalade unhealthy 182 229
gatorade unhealthy 213 261
shallot healthy 189 239
whopper unhealthy 428 478
mandarin healthy 118 169
tomatoe healthy 301 353
layer neutral 166 219
oregano neutral 197 250
shellfish healthy 278 331
vege healthy 406 459
nutmeg neutral 260 314
snicker unhealthy 460 514
frost unhealthy 476 530
coleslaw neutral 23 78
chive neutral 46 101
paprika neutral 106 161
saute neutral 345 400
daikon healthy 347 402
popover unhealthy 420 475
crouton healthy 433 488
cofee unhealthy 477 532
whataburger unhealthy 27 83
cantaloupe healthy 37 93
papaya healthy 42 98
aubergine healthy 435 491
hazelnut healthy 40 97
puree healthy 135 192
bitter neutral 359 416
dry neutral 29 87
cassava neutral 482 541
tarragon neutral 174 234
peppercorn neutral 302 362
persimmon healthy 369 429
grit neutral 425 486
pilaf healthy 80 142
iceberg healthy 356 418
sorghum healthy 441 503
cashew healthy 16 79
punch unhealthy 45 108
redbull unhealthy 119 182
cumin neutral 123 186
scotch unhealthy 153 216
mulberry healthy 427 490
tamal unhealthy 465 528
marinade neutral 179 243
squid healthy 82 147
nosh neutral 221 286
salami unhealthy 25 91
scallop healthy 73 139
beetroot healthy 371 437
buckwheat neutral 21 88
honeydew healthy 256 323
plantain healthy 94 162
vitamin healthy 112 180
shortcake unhealthy 204 272
cobbler unhealthy 227 295
toffee unhealthy 277 345
venison neutral 91 160
parsnip healthy 187 256
turmeric neutral 148 218
macaroon unhealthy 341 411
pumpernickel healthy 381 451
anise neutral 430 500
avacado healthy 52 123
cocoa neutral 38 110
caper neutral 220 293
goulash neutral 307 382
frappuccino unhealthy 367 442
prune healthy 386 461
edible neutral 137 213
snail healthy 439 515
cheesesteak unhealthy 51 128
veal neutral 69 146
prawn healthy 147 224
grease unhealthy 234 311
gouda unhealthy 26 104
marshmallow unhealthy 167 245
mussel neutral 330 408
leek healthy 20 99
batter unhealthy 131 210
acorn healthy 161 240
flan unhealthy 332 412
baguette unhealthy 18 100
plum healthy 177 259
junk unhealthy 200 285
mayonnaise unhealthy 281 366
oreo unhealthy 31 117
loaf neutral 68 154
oxtail neutral 168 254
eel healthy 263 349
ceaser healthy 440 526
whey healthy 158 246
z neutral 165 253
barley healthy 14 103
chutney neutral 61 150
liquor unhealthy 171 260
watercress healthy 238 327
freeze unhealthy 97 188
cornmeal neutral 111 202
sole neutral 203 294
meringue unhealthy 261 352
quail neutral 144 237
brownie unhealthy 28 122
collard healthy 17 112
sprout healthy 170 267
haddock healthy 298 395
broil neutral 282 380
broth neutral 57 156
caviar healthy 90 189
liver neutral 126 226
durian healthy 337 438
tomatillo healthy 208 310
mochi unhealthy 276 378
goose neutral 206 309
chilli unhealthy 15 119
rabbit neutral 30 134
danish unhealthy 47 152
curd neutral 228 333
cinnabon unhealthy 101 207
poppyseed healthy 159 265
tamale unhealthy 169 275
soysauce neutral 304 410
nutrient healthy 322 428
millet healthy 172 280
patty unhealthy 32 141
fritter unhealthy 378 487
tangerine healthy 249 361
eggnog unhealthy 309 423
applesauce healthy 55 184
saffron neutral 58 187
yeast neutral 241 373
turnip healthy 233 367
butterscotch unhealthy 132 274
chestnut healthy 269 421
hake healthy 12 306
